_M_Barrio_mut0,edu.uclm.esi.iso5.juegos.monopoly.dominio.Barrio,todasLasCallesPertenecenAlMismo,||,&&
_M_Jugador_mut26,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,setDados,==,>=
_M_Jugador_mut27,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,decrementarCapital,-,+
_M_Jugador_mut28,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,decrementarCapital,-,*
_M_Jugador_mut29,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,decrementarCapital,-,/
_M_Jugador_mut30,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,decrementarCapital,-,%
_M_Jugador_mut31,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,!=
_M_Jugador_mut32,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,<
_M_Jugador_mut33,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,>
_M_Jugador_mut34,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,<=
_M_Jugador_mut35,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,>=
_M_Jugador_mut36,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,+,-
_M_Jugador_mut37,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,+,*
_M_Jugador_mut38,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,+,/
_M_Jugador_mut39,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,+,%
_M_Jugador_mut40,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,%,+
_M_Jugador_mut41,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,%,-
_M_Jugador_mut42,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,%,*
